原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
,深入,1,贯彻,贯彻,不断
,更大,1,,,
,提升,1,,,
,掌握,1,,,
,技术,1,,,
,手中,1,,,
,战略,1,,,
,我国,1,,,
,我们,1,,,
,必须,1,,,
,形成,1,,,
,强盛,1,,,
,开辟,1,,,
,实施,1,,,
,完整,1,,,
,安全性,1,,,
,安全,1,,,
,国际竞争,1,,,
,国家,1,,,
,命脉,1,,,
,取得,1,,,
,创新,1,,,
,准确,1,,,
,全面,1,,,
,催生,1,,,
,优势,1,,,
,产业,1,,,
,之要,1,,,
,之基,1,,,
,不断,1,,,
,,,,,
光电子信息产业是应用广泛的战略高技术产业，也是我国有条件率先实现突破的高技术产业。湖北武汉东湖新技术开发区在光电子信息产业领域独树一帜。要加强技术研发攻关，掌握更多具有自主知识产权的核心技术，不断延伸创新链、完善产业链，为推动我国光电子信息产业加快发展作出更大贡献。随着我国发展壮大，突破“卡脖子”关键核心技术刻不容缓，必须坚持问题导向，发挥新型举国体制优势，踔厉奋发、奋起直追，加快实现科技自立自强。,我国,3,光电子,光电子,创新
,光电子,3,信息产业,信息产业,科技
,信息产业,3,核心技术,核心技术,发展
,高技术,2,高技术,高技术,技术
,突破,2,我国,我国,推动
,核心技术,2,自立自强,自立自强,加快
,实现,2,武汉东湖新技术开发区,武汉东湖新技术开发区,我国
,加快,2,卡脖子,卡脖子,加强
,产业,2,踔厉奋发,踔厉奋发,产业
,领域,1,举国体制,举国体制,领域
,随着,1,奋起直追,奋起直追,战略
,问题,1,加快,加快,自主
,踔厉奋发,1,突破,突破,实现
,贡献,1,产业,产业,关键
,自立自强,1,攻关,攻关,坚持
,自主,1,,,
,科技,1,,,
,研发,1,,,
,知识产权,1,,,
,率先,1,,,
,独树一帜,1,,,
,湖北,1,,,
,武汉东湖新技术开发区,1,,,
,条件,1,,,
,更大,1,,,
,新型,1,,,
,攻关,1,,,
,推动,1,,,
,掌握,1,,,
,技术,1,,,
,战略,1,,,
,必须,1,,,
,延伸,1,,,
,应用,1,,,
,广泛,1,,,
,导向,1,,,
,完善,1,,,
,奋起直追,1,,,
,坚持,1,,,
,发挥,1,,,
,发展壮大,1,,,
,发展,1,,,
,卡脖子,1,,,
,加强,1,,,
,刻不容缓,1,,,
,创新,1,,,
,具有,1,,,
,关键,1,,,
,作出,1,,,
,优势,1,,,
,产业链,1,,,
,举国体制,1,,,
,不断,1,,,
,,,,,
高端制造是经济高质量发展的重要支撑。推动我国制造业转型升级，建设制造强国，必须加强技术研发，提高国产化替代率，把科技的命脉掌握在自己手中，国家才能真正强大起来。,制造,2,制造,制造,科技
,高质量,1,国产化,国产化,发展
,高端,1,命脉,命脉,技术
,重要,1,高质量,高质量,建设
,转型,1,强国,强国,经济
,起来,1,替代,替代,国家
,自己,1,高端,高端,推动
,经济,1,转型,转型,我国
,科技,1,研发,研发,加强
,研发,1,升级,升级,重要
,真正,1,制造业,制造业,提高
,替代,1,强大,强大,支撑
,支撑,1,掌握,掌握,必须
,提高,1,手中,手中,研发
,推动,1,科技,科技,强国
,掌握,1,,,
,技术,1,,,
,才能,1,,,
,手中,1,,,
,我国,1,,,
,必须,1,,,
,强大,1,,,
,强国,1,,,
,建设,1,,,
,国家,1,,,
,国产化,1,,,
,命脉,1,,,
,发展,1,,,
,升级,1,,,
,加强,1,,,
,制造业,1,,,
,,,,,
我国是世界第二大经济体，但还有不少短板，一些产业的基础还不是很牢固，进一步发展必须靠创新。全面建设社会主义现代化国家，实现第二个百年奋斗目标，创新是一个决定性因素。党中央高度重视科技创新，实施科教兴国战略和创新驱动发展战略。如果我们每一座城市、每一个高新技术开发区、每一家科技企业、每一位科研工作者都能围绕国家确定的发展方向扎扎实实推进科技创新，那么我们就一定能够实现既定目标。我们这一代人必须承担起这一光荣使命。科技创新，一靠投入，二靠人才。看到这里聚集了不少精英人才，大家都很年轻，充满活力，我感到很高兴。党中央十分关心科技人才成长，各级党委和政府要尽可能创造有利于科技创新的体制机制和工作生活环境，让科技工作者为祖国和人民作贡献。,创新,7,创新,创新,创新
,科技,6,科技,科技,科技
,我们,3,工作者,工作者,发展
,发展,3,党中央,党中央,建设
,战略,2,人才,人才,国家
,必须,2,科教兴国,科教兴国,我国
,工作者,2,一靠,一靠,产业
,实现,2,二靠,二靠,我们
,国家,2,战略,战略,人才
,党中央,2,既定目标,既定目标,世界
,人才,2,作贡献,作贡献,战略
,不少,2,发展,发展,企业
,一个,2,扎扎实实,扎扎实实,基础
,高新技术,1,短板,短板,实现
,高度重视,1,各级党委,各级党委,推进
,高兴,1,,,
,驱动,1,,,
,那么,1,,,
,进一步,1,,,
,这里,1,,,
,还有,1,,,
,能够,1,,,
,聚集,1,,,
,经济体,1,,,
,精英,1,,,
,第二个,1,,,
,第二,1,,,
,科研,1,,,
,科教兴国,1,,,
,科技人才,1,,,
,祖国,1,,,
,社会主义,1,,,
,确定,1,,,
,短板,1,,,
,看到,1,,,
,百年,1,,,
,生活,1,,,
,现代化,1,,,
,环境,1,,,
,牢固,1,,,
,机制,1,,,
,有利于,1,,,
,既定目标,1,,,
,方向,1,,,
,政府,1,,,
,推进,1,,,
,投入,1,,,
,承担,1,,,
,扎扎实实,1,,,
,我国,1,,,
,成长,1,,,
,感到,1,,,
,开发区,1,,,
,建设,1,,,
,年轻,1,,,
,工作,1,,,
,尽可能,1,,,
,实施,1,,,
,如果,1,,,
,奋斗目标,1,,,
,大家,1,,,
,基础,1,,,
,城市,1,,,
,围绕,1,,,
,因素,1,,,
,各级党委,1,,,
,十分关心,1,,,
,创造,1,,,
,决定性,1,,,
,全面,1,,,
,光荣,1,,,
,充满活力,1,,,
,使命,1,,,
,作贡献,1,,,
,体制,1,,,
,企业,1,,,
,人民,1,,,
,产业,1,,,
,二靠,1,,,
,世界,1,,,
,不是,1,,,
,一靠,1,,,
,一座,1,,,
,一家,1,,,
,一定,1,,,
,一位,1,,,
,一代人,1,,,
,一些,1,,,
,,,,,
近年来，在中央支持下，香港发挥自身优势，在基础研究、人才培养、创科产业发展等方面都取得了令人瞩目的成绩。特别行政区政府要把握时代发展大势，把支持创新科技发展放在更加突出的位置，进一步发挥好科技创新的支撑和引领作用。,发展,3,发挥,发挥,创新
,科技,2,创科,创科,科技
,支持,2,科技,科技,发展
,发挥,2,创新,创新,产业
,创新,2,发展,发展,研究
,香港,1,支持,支持,基础
,进一步,1,人才培养,人才培养,发挥
,近年来,1,令人瞩目,令人瞩目,优势
,行政区,1,行政区,行政区,作用
,自身,1,大势,大势,支持
,突出,1,引领,引领,支撑
,研究,1,成绩,成绩,方面
,特别,1,近年来,近年来,取得
,更加,1,把握,把握,更加
,时代,1,突出,突出,引领
,方面,1,,,
,政府,1,,,
,放在,1,,,
,支撑,1,,,
,把握,1,,,
,成绩,1,,,
,引领,1,,,
,大势,1,,,
,基础,1,,,
,取得,1,,,
,创科,1,,,
,作用,1,,,
,位置,1,,,
,优势,1,,,
,令人瞩目,1,,,
,人才培养,1,,,
,产业,1,,,
,中央,1,,,
,,,,,
大家再接再厉，在攻坚克难中追求卓越，创造更多引领世界潮流的科技成果。,追求,1,攻坚克难,攻坚克难,创造
,科技成果,1,世界潮流,世界潮流,引领
,攻坚克难,1,科技成果,科技成果,科技成果
,引领,1,再接再厉,再接再厉,追求
,大家,1,卓越,卓越,攻坚克难
,卓越,1,引领,引领,卓越
,创造,1,追求,追求,再接再厉
,再接再厉,1,创造,创造,大家
,世界潮流,1,大家,大家,世界潮流
,,,,,
国家高度重视科技创新工作，深入实施创新驱动发展战略。国家已将支持香港建设国际创科中心纳入“十四五”规划，对香港有很高的期望。希望香港发挥自身优势，汇聚全球创新资源，与粤港澳大湾区内地城市珠联璧合，强化产学研创新协同，着力建设全球科技创新高地。香港科技工作者是我国实施创新驱动发展战略、建设创新型国家的一支重要力量。希望大家继续弘扬爱国爱港传统，坚定创新自信，瞄准世界科技前沿，积极对接国家重大战略需求，着力攻克关键核心技术，为把我国建设成为世界科技强国作出贡献。,创新,7,创新,创新,创新
,香港,4,科技,科技,科技
,科技,4,香港,香港,发展
,建设,4,建设,建设,建设
,国家,4,战略,战略,国家
,战略,3,国家,国家,我国
,驱动,2,着力,着力,世界
,着力,2,驱动,驱动,战略
,我国,2,科技前沿,科技前沿,国际
,希望,2,粤港澳,粤港澳,重要
,实施,2,珠联璧合,珠联璧合,关键
,发展,2,创科,创科,重大
,全球,2,爱港,爱港,全球
,世界,2,十四五,十四五,发挥
,高度重视,1,大湾,大湾,优势
,高地,1,,,
,需求,1,,,
,重要,1,,,
,重大,1,,,
,资源,1,,,
,规划,1,,,
,自身,1,,,
,自信,1,,,
,继续,1,,,
,纳入,1,,,
,粤港澳,1,,,
,积极,1,,,
,科技前沿,1,,,
,瞄准,1,,,
,珠联璧合,1,,,
,爱港,1,,,
,爱国,1,,,
,深入,1,,,
,汇聚,1,,,
,核心技术,1,,,
,期望,1,,,
,攻克,1,,,
,支持,1,,,
,成为,1,,,
,强国,1,,,
,强化,1,,,
,弘扬,1,,,
,工作者,1,,,
,工作,1,,,
,对接,1,,,
,大湾,1,,,
,大家,1,,,
,城市,1,,,
,坚定,1,,,
,国际,1,,,
,发挥,1,,,
,协同,1,,,
,十四五,1,,,
,区内,1,,,
,力量,1,,,
,创科,1,,,
,创新型,1,,,
,关键,1,,,
,作出贡献,1,,,
,传统,1,,,
,优势,1,,,
,产学研,1,,,
,中心,1,,,
,一支,1,,,
,,,,,
要加强现代科技特别是军事高技术知识学习，增强科技认知力、创新力、运用力，以科技素养提升促进能力素质升级。,科技,2,创新力,创新力,科技
,高技术,1,科技,科技,加强
,运用,1,现代科技,现代科技,提升
,认知,1,素养,素养,促进
,能力,1,高技术,高技术,能力
,素质,1,认知,认知,增强
,素养,1,素质,素质,知识
,知识,1,升级,升级,特别
,现代科技,1,知识,知识,素质
,特别,1,运用,运用,运用
,提升,1,增强,增强,学习
,学习,1,学习,学习,高技术
,增强,1,提升,提升,升级
,升级,1,军事,军事,军事
,加强,1,促进,促进,认知
,创新力,1,,,
,军事,1,,,
,促进,1,,,
,,,,,
党中央实施创新驱动发展战略，格外重视自主创新，格外重视创新环境建设，努力提升我国产业水平和实力，推动我国从经济大国向经济强国、制造强国转变。当前，经济全球化遭遇逆流，保护主义抬头，但我们要坚持敞开大门搞建设。我国发展既要扎扎实实、步步为营，又要开放包容、互利共赢，积极构建以国内大循环为主体、国内国际双循环相互促进的新发展格局。要坚持自力更生，把国家和民族发展放在自己力量的基点上，牢牢掌握发展主动权。全面建设社会主义现代化强国，实现第二个百年奋斗目标，必须走自主创新之路。要时不我待推进科技自立自强，只争朝夕突破“卡脖子”问题，努力把关键核心技术和装备制造业掌握在我们自己手里。青年人朝气蓬勃、充满活力，是企业发展希望所在。各级党委和政府要营造良好环境，充分激发青年人创新创造活力，鼓励他们在各领域勇于创新、勇攀高峰，为推动新时代东北振兴作出更大贡献。,发展,6,创新,创新,创新
,创新,5,强国,强国,科技
,我国,3,发展,发展,发展
,强国,3,青年人,青年人,建设
,建设,3,我国,我国,经济
,青年人,2,建设,建设,国家
,重视,2,格外,格外,推动
,自己,2,自立自强,自立自强,我国
,自主,2,自主,自主,产业
,经济,2,卡脖子,卡脖子,我们
,格外,2,勇攀高峰,勇攀高峰,领域
,推动,2,双循环,双循环,战略
,掌握,2,掌握,掌握,企业
,我们,2,重视,重视,国际
,坚持,2,努力,努力,自主
,国内,2,,,
,努力,2,,,
,鼓励,1,,,
,驱动,1,,,
,领域,1,,,
,问题,1,,,
,遭遇,1,,,
,逆流,1,,,
,转变,1,,,
,贡献,1,,,
,装备,1,,,
,营造,1,,,
,良好环境,1,,,
,自立自强,1,,,
,自力更生,1,,,
,经济大国,1,,,
,第二个,1,,,
,突破,1,,,
,积极,1,,,
,科技,1,,,
,社会主义,1,,,
,相互促进,1,,,
,百年,1,,,
,现代化,1,,,
,环境,1,,,
,牢牢,1,,,
,激发,1,,,
,活力,1,,,
,水平,1,,,
,民族,1,,,
,步步为营,1,,,
,格局,1,,,
,核心技术,1,,,
,构建,1,,,
,朝气蓬勃,1,,,
,更大,1,,,
,时代,1,,,
,时不我待,1,,,
,敞开大门,1,,,
,政府,1,,,
,放在,1,,,
,提升,1,,,
,推进,1,,,
,振兴,1,,,
,抬头,1,,,
,扎扎实实,1,,,
,手里,1,,,
,所在,1,,,
,战略,1,,,
,必须,1,,,
,循环,1,,,
,当前,1,,,
,开放,1,,,
,希望,1,,,
,实现,1,,,
,实施,1,,,
,实力,1,,,
,奋斗目标,1,,,
,基点,1,,,
,国际,1,,,
,国家,1,,,
,各级党委,1,,,
,只争朝夕,1,,,
,双循环,1,,,
,卡脖子,1,,,
,包容,1,,,
,勇攀高峰,1,,,
,勇于创新,1,,,
,力量,1,,,
,制造业,1,,,
,制造,1,,,
,创造,1,,,
,关键,1,,,
,共赢,1,,,
,全面,1,,,
,全球化,1,,,
,党中央,1,,,
,充满活力,1,,,
,充分,1,,,
,保护主义,1,,,
,作出,1,,,
,企业,1,,,
,他们,1,,,
,产业,1,,,
,互利,1,,,
,主动权,1,,,
,主体,1,,,
,东北,1,,,
,,,,,
要发挥我国社会主义制度能够集中力量办大事的显著优势，强化党和国家对重大科技创新的领导，充分发挥市场机制作用，围绕国家战略需求，优化配置创新资源，强化国家战略科技力量，大幅提升科技攻关体系化能力，在若干重要领域形成竞争优势、赢得战略主动。,战略,3,战略,战略,创新
,科技,2,强化,强化,科技
,强化,2,体系化,体系化,国家
,国家,2,科技,科技,我国
,创新,2,创新,创新,领域
,优势,2,优势,优势,战略
,领导,1,科技攻关,科技攻关,重要
,领域,1,集中力量,集中力量,重大
,需求,1,党和国家,党和国家,发挥
,集中力量,1,市场机制,市场机制,优势
,重要,1,国家,国家,资源
,重大,1,充分发挥,充分发挥,提升
,配置,1,赢得,赢得,作用
,赢得,1,优化,优化,形成
,资源,1,显著,显著,能力
,若干,1,,,
,能够,1,,,
,能力,1,,,
,竞争,1,,,
,科技攻关,1,,,
,社会主义,1,,,
,显著,1,,,
,提升,1,,,
,我国,1,,,
,形成,1,,,
,市场机制,1,,,
,大幅,1,,,
,大事,1,,,
,围绕,1,,,
,发挥,1,,,
,力量,1,,,
,制度,1,,,
,党和国家,1,,,
,充分发挥,1,,,
,作用,1,,,
,体系化,1,,,
,优化,1,,,
,主动,1,,,
,,,,,
让中国大飞机翱翔蓝天，承载着国家意志、民族梦想、人民期盼，要充分发挥新型举国体制优势，坚持安全第一、质量第一，一以贯之、善始善终、久久为功，在关键核心技术攻关上取得更大突破，加快规模化和系列化发展，扎实推进制造强国建设，为全面建设社会主义现代化国家、实现中华民族伟大复兴的中国梦不懈奋斗。,建设,2,质量第一,质量第一,发展
,国家,2,善始善终,善始善终,建设
,中国,2,为功,为功,国家
,飞机,1,举国体制,举国体制,加快
,质量第一,1,一以贯之,一以贯之,中国
,规模化,1,攻关,攻关,实现
,蓝天,1,翱翔,翱翔,关键
,翱翔,1,建设,建设,推进
,系列化,1,系列化,系列化,坚持
,第一,1,不懈,不懈,优势
,突破,1,规模化,规模化,突破
,社会主义,1,期盼,期盼,核心技术
,现代化,1,承载,承载,人民
,民族,1,核心技术,核心技术,全面
,梦想,1,蓝天,蓝天,取得
,核心技术,1,,,
,期盼,1,,,
,更大,1,,,
,新型,1,,,
,攻关,1,,,
,推进,1,,,
,承载,1,,,
,扎实,1,,,
,意志,1,,,
,强国,1,,,
,实现,1,,,
,安全,1,,,
,奋斗,1,,,
,复兴,1,,,
,坚持,1,,,
,善始善终,1,,,
,取得,1,,,
,发展,1,,,
,加快,1,,,
,制造,1,,,
,关键,1,,,
,全面,1,,,
,充分发挥,1,,,
,伟大,1,,,
,优势,1,,,
,人民,1,,,
,久久,1,,,
,举国体制,1,,,
,为功,1,,,
,中华民族,1,,,
,不懈,1,,,
,一以贯之,1,,,
,,,,,
在你们努力下，大飞机项目取得了可喜成就。要聚焦关键核心技术，继续合力攻关。要把安全可靠性放在第一位，消除一切安全隐患。大飞机事业一定要办好！,飞机,2,飞机,飞机,关键
,项目,1,攻关,攻关,核心技术
,聚焦,1,安全隐患,安全隐患,努力
,继续,1,可喜,可喜,取得
,第一位,1,核心技术,核心技术,安全
,消除,1,办好,办好,攻关
,核心技术,1,聚焦,聚焦,继续
,放在,1,可靠性,可靠性,项目
,攻关,1,合力,合力,聚焦
,成就,1,第一位,第一位,成就
,安全隐患,1,消除,消除,事业
,安全,1,成就,成就,一切
,合力,1,事业,事业,你们
,可靠性,1,关键,关键,一定
,可喜,1,努力,努力,放在
,取得,1,,,
,努力,1,,,
,办好,1,,,
,关键,1,,,
,你们,1,,,
,事业,1,,,
,一定,1,,,
,一切,1,,,
,,,,,
在实现中华民族伟大复兴的征程上，我们要着眼长远战略，根据实际情况制定切实目标，选择正确技术路线，一茬接着一茬干，一件事接着一件事办好。要有雄心壮志，世界科技巅峰我们都要奋勇攀登。,接着,2,一茬,一茬,科技
,我们,2,一件,一件,技术
,一茬,2,接着,接着,我们
,一件,2,雄心壮志,雄心壮志,世界
,雄心壮志,1,征程,征程,战略
,长远,1,巅峰,巅峰,实现
,选择,1,攀登,攀登,目标
,路线,1,奋勇,奋勇,中华民族
,科技,1,办好,办好,伟大
,着眼,1,中华民族,中华民族,复兴
,目标,1,着眼,着眼,制定
,正确,1,复兴,复兴,长远
,根据,1,切实,切实,切实
,攀登,1,长远,长远,征程
,技术,1,路线,路线,实际
,战略,1,,,
,情况,1,,,
,征程,1,,,
,巅峰,1,,,
,实际,1,,,
,实现,1,,,
,奋勇,1,,,
,复兴,1,,,
,办好,1,,,
,制定,1,,,
,切实,1,,,
,伟大,1,,,
,中华民族,1,,,
,世界,1,,,
,,,,,
希望同志们大力弘扬爱国奉献、开拓创新、艰苦奋斗的优良传统，积极践行绿色发展理念，加大勘查力度，加强科技攻关，在新一轮找矿突破战略行动中发挥更大作用，为保障国家能源资源安全、为全面建设社会主义现代化国家作出新贡献，奋力书写“英雄地质队”新篇章。,国家,2,地质队,地质队,发展
,践行,1,开拓创新,开拓创新,建设
,资源,1,新篇章,新篇章,国家
,贡献,1,践行,践行,加强
,行动,1,科技攻关,科技攻关,战略
,英雄,1,找矿,找矿,发挥
,艰苦奋斗,1,艰苦奋斗,艰苦奋斗,突破
,能源,1,优良传统,优良传统,资源
,绿色,1,弘扬,弘扬,作用
,突破,1,勘查,勘查,积极
,积极,1,奉献,奉献,全面
,科技攻关,1,奋力,奋力,加大
,社会主义,1,书写,书写,安全
,理念,1,国家,国家,现代化
,现代化,1,爱国,爱国,希望
,爱国,1,,,
,更大,1,,,
,新篇章,1,,,
,新一轮,1,,,
,找矿,1,,,
,战略,1,,,
,弘扬,1,,,
,开拓创新,1,,,
,建设,1,,,
,希望,1,,,
,安全,1,,,
,奋力,1,,,
,奉献,1,,,
,大力,1,,,
,地质队,1,,,
,同志,1,,,
,发挥,1,,,
,发展,1,,,
,勘查,1,,,
,加强,1,,,
,加大,1,,,
,力度,1,,,
,全面,1,,,
,保障,1,,,
,作用,1,,,
,作出,1,,,
,优良传统,1,,,
,书写,1,,,
